Date,Deaths,New deaths,Under Investigation,Positives,New positives,Negatives,Total tested,New tests,Resolved,Positive pct,Negative pct,Investigation pct,New Positive pct,Hospitalized,ICU,Ventilator
2020-03-02,0,0.0,12,18,0.0,975,1005,0.0,3,0.01791044776119403,0.9701492537313433,0.011940298507462687,,,,
2020-03-03,0,0.0,45,20,2.0,1061,1126,121.0,3,0.017761989342806393,0.9422735346358793,0.03996447602131439,0.01652892561983471,,,
2020-03-04,0,0.0,102,20,0.0,1216,1338,212.0,3,0.014947683109118086,0.9088191330343797,0.07623318385650224,0.0,,,
2020-03-05,0,0.0,78,22,2.0,1466,1566,228.0,4,0.0140485312899106,0.9361430395913155,0.04980842911877394,0.008771929824561403,,,
2020-03-06,0,0.0,72,26,4.0,1665,1763,197.0,4,0.01474758933635848,0.944412932501418,0.04083947816222348,0.02030456852791878,,,
2020-03-07,0,0.0,36,28,2.0,1918,1982,219.0,4,0.014127144298688193,0.9677093844601413,0.018163471241170535,0.0091324200913242,,,
2020-03-08,0,0.0,55,29,1.0,2094,2178,196.0,4,0.013314967860422406,0.9614325068870524,0.025252525252525252,0.00510204081632653,,,
2020-03-09,0,0.0,22,35,6.0,2347,2404,226.0,4,0.014559068219633943,0.9762895174708819,0.009151414309484194,0.02654867256637168,,,
2020-03-10,0,0.0,112,36,1.0,2599,2747,343.0,5,0.013105205678922462,0.9461230433199854,0.0407717510010921,0.0029154518950437317,,,
2020-03-11,0,0.0,465,42,6.0,2888,3395,648.0,5,0.012371134020618556,0.8506627393225331,0.13696612665684832,0.009259259259259259,,,
2020-03-12,0,0.0,536,59,17.0,3590,4185,790.0,5,0.014097968936678614,0.8578255675029869,0.12807646356033453,0.021518987341772152,,,
2020-03-13,0,0.0,580,79,20.0,4470,5129,944.0,5,0.015402612595047768,0.8715149151881458,0.1130824722168064,0.0211864406779661,,,
2020-03-14,0,0.0,939,103,24.0,5606,6648,1519.0,5,0.01549338146811071,0.8432611311672683,0.14124548736462095,0.015799868334430547,,,
2020-03-15,0,0.0,1316,145,42.0,7004,8465,1817.0,5,0.017129356172474897,0.8274069698759599,0.15546367395156527,0.023115024766097964,,,
2020-03-16,0,0.0,1537,177,32.0,8464,10178,1713.0,5,0.017390449990174885,0.8315975633719788,0.15101198663784635,0.018680677174547577,,,
2020-03-17,1,1.0,1567,189,12.0,9415,11171,993.0,5,0.016918807626891057,0.8428072688210545,0.14027392355205442,0.012084592145015106,,,
2020-03-18,1,0.0,3378,214,25.0,10305,13897,2726.0,5,0.015399006979923725,0.7415269482622149,0.2430740447578614,0.009170946441672781,,,
2020-03-19,2,1.0,3971,258,44.0,12421,16650,2753.0,5,0.015495495495495495,0.746006006006006,0.2384984984984985,0.015982564475118054,,,
2020-03-20,2,0.0,5475,318,60.0,13718,19511,2861.0,5,0.016298498283019835,0.7030905642970632,0.280610937419917,0.02097168822090178,,,
2020-03-21,2,0.0,7239,377,59.0,15768,23384,3873.0,6,0.016122134793020867,0.6743072186110161,0.30957064659596306,0.015233668990446682,,,
2020-03-22,5,3.0,8361,425,48.0,17634,26420,3036.0,8,0.016086298258894776,0.6674489023467071,0.3164647993943982,0.015810276679841896,,,
2020-03-23,6,1.0,8417,503,78.0,19586,28506,2086.0,8,0.01764540798428401,0.6870834210341682,0.29527117098154776,0.037392138063279005,,,
2020-03-24,8,2.0,10074,588,85.0,21795,32457,3951.0,8,0.018116276920232925,0.6715038358443479,0.31037988723541915,0.021513540875727665,,,
2020-03-25,13,5.0,10489,688,100.0,24458,35635,3178.0,8,0.019306861231934896,0.6863476918759647,0.29434544689210046,0.03146633102580239,,,
2020-03-26,15,2.0,10965,858,170.0,26727,38550,2915.0,8,0.0222568093385214,0.693307392996109,0.28443579766536964,0.058319039451114926,,,
2020-03-27,18,3.0,10074,993,135.0,29967,41032,2482.0,8,0.02420062390329499,0.7303324234743614,0.24551569506726456,0.05439161966156326,,,
2020-03-28,19,1.0,8690,1144,151.0,33240,43072,2040.0,8,0.026560178306092124,0.7717310549777118,0.20175520059435365,0.07401960784313726,,,
2020-03-29,23,4.0,7203,1355,211.0,40630,49186,6114.0,8,0.027548489407554996,0.8260480624567966,0.14644411011263367,0.03451095845600262,77.0,64.0,28.0
2020-03-30,23,0.0,5651,1706,351.0,41104,48461,-725.0,431,0.0352035657539052,0.8481872020800231,0.11660923216607169,-0.48413793103448277,116.0,61.0,38.0
2020-03-31,33,10.0,4280,1966,260.0,45383,51629,3168.0,534,0.038079373995235234,0.8790214801758701,0.08289914582889461,0.08207070707070707,145.0,82.0,43.0
2020-04-01,37,4.0,3135,2392,426.0,52347,57874,6245.0,674,0.04133116770916128,0.9044994297957633,0.05416940249507551,0.06821457165732586,177.0,97.0,46.0
2020-04-02,53,16.0,2052,2793,401.0,57888,62733,4859.0,831,0.044522021902348045,0.9227679211898044,0.03271005690784754,0.08252726898538794,238.0,112.0,55.0
2020-04-03,67,14.0,1245,3255,462.0,62253,66753,4020.0,1023,0.0487618533998472,0.9325872994472159,0.018650847152936946,0.11492537313432835,268.0,140.0,54.0
2020-04-04,94,27.0,1336,3630,375.0,66372,71338,4585.0,1219,0.05088452157335501,0.9303877316437242,0.018727746782920742,0.08178844056706652,310.0,152.0,44.0
2020-04-05,119,25.0,981,4038,408.0,70027,75046,3708.0,1449,0.05380699837433041,0.9331210191082803,0.013071982517389334,0.11003236245954692,323.0,154.0,46.0
