region,date,value
Spain,16,13910
Spain,17,17963
Spain,18,20410
Spain,19,25374
Spain,20,28768
Spain,21,35136
Spain,22,39885
Spain,23,49515
Spain,24,57786
Spain,25,65719
Spain,26,73235
Spain,27,80110
Spain,28,87956
Spain,29,95923
Spain,30,104118
Spain,31,112065
Spain,32,120012
Spain,33,127146
Spain,34,134115
Spain,35,139593
Spain,36,144622
Spain,37,149889
Spain,38,156167
Spain,39,161169
Spain,40,166220
Spain,41,170974
Spain,42,174778
United Kingdom,0,116
United Kingdom,1,164
United Kingdom,2,207
United Kingdom,3,274
United Kingdom,4,322
United Kingdom,5,384
United Kingdom,6,459
United Kingdom,7,459
United Kingdom,8,802
United Kingdom,9,1144
United Kingdom,10,1145
United Kingdom,11,1551
United Kingdom,12,1960
United Kingdom,13,2642
United Kingdom,14,2716
United Kingdom,15,4014
United Kingdom,16,5067
United Kingdom,17,5745
United Kingdom,18,6726
United Kingdom,19,8164
United Kingdom,20,9640
United Kingdom,21,11812
United Kingdom,22,14745
United Kingdom,23,17312
United Kingdom,24,19780
United Kingdom,25,22453
United Kingdom,26,25481
United Kingdom,27,29865
United Kingdom,28,34173
United Kingdom,29,38481
United Kingdom,30,42997
United Kingdom,31,46785
United Kingdom,32,52744
United Kingdom,33,56587
United Kingdom,34,60257
United Kingdom,35,65782
United Kingdom,36,70180
United Kingdom,37,78913
United Kingdom,38,84182
United Kingdom,39,89514
France,0,130
France,1,191
France,2,204
France,3,288
France,4,380
France,5,656
France,6,959
France,7,1136
France,8,1219
France,9,1794
France,10,2293
France,11,2293
France,12,3681
France,13,4496
France,14,4532
France,15,6683
France,16,7715
France,17,9124
France,18,10970
France,19,12758
France,20,14463
France,21,16243
France,22,20123
France,23,22622
France,24,25600
France,25,29551
France,26,33402
France,27,38105
France,28,40708
France,29,45170
France,30,52827
France,31,57749
France,32,59929
France,33,62109
France,34,67382
France,35,93028
France,36,95953
France,37,101143
France,38,112245
France,39,116139
France,40,120961
France,41,128111
France,42,132907
France,43,135850
US,0,117
US,1,148
US,2,216
US,3,261
US,4,401
US,5,517
US,6,582
US,7,958
US,8,1280
US,9,1662
US,10,2178
US,11,2726
US,12,3498
US,13,4631
US,14,6420
US,15,7782
US,16,13676
US,17,19099
US,18,25488
US,19,33275
US,20,43846
US,21,53739
US,22,65777
US,23,83835
US,24,101656
US,25,121477
US,26,140885
US,27,161806
US,28,188171
US,29,213371
US,30,243452
US,31,275585
US,32,308849
US,33,337071
US,34,366613
US,35,396169
US,36,428998
US,37,461383
US,38,496481
US,39,526342
US,40,556203
US,41,585120
