date,critical_care_beds,critical_care_patients,vented_beds,vented_patients,suspected_covid,suspected_covid_ventilator,confirmed_positive,confirmed_negative,confirmed_positive_ventilator,non_covid,critical_care_pct,vented_pct,confirmed_positive_pct,confirmed_negative_pct,suspected_covid_pct,non_covid_pct,residual_beds,residual_ventilators
2020-03-28,2012,1534,1319,530,342,164.0,92,100.0,64,1000.0,0.7624254473161034,0.40181956027293403,0.05997392438070404,0.0651890482398957,0.22294654498044328,0.651890482398957,478,789
2020-03-29,2012,1512,1319,441,349,150.0,99,104.0,61,960.0,0.7514910536779325,0.33434420015163,0.06547619047619048,0.06878306878306878,0.23082010582010581,0.6349206349206349,500,878
2020-03-30,2012,1559,1319,522,353,159.0,125,120.0,82,961.0,0.7748508946322068,0.3957543593631539,0.08017960230917255,0.07697241821680564,0.22642719692110327,0.6164207825529185,453,797
2020-04-01,2012,1602,1319,586,345,165.0,162,179.0,111,916.0,0.7962226640159046,0.444275966641395,0.10112359550561797,0.11173533083645443,0.2153558052434457,0.5717852684144819,410,733
2020-04-04,2012,1309,1971,562,310,0.0,200,0.0,154,799.0,0.6505964214711729,0.28513444951801115,0.15278838808250572,0.0,0.23682200152788388,0.6103896103896104,703,1409
2020-04-05,2012,1250,1971,527,297,0.0,216,0.0,160,737.0,0.621272365805169,0.267376966007103,0.1728,0.0,0.2376,0.5896,762,1444
2020-04-06,2012,1289,1971,592,263,0.0,233,0.0,187,793.0,0.6406560636182903,0.30035514967021815,0.18076027928626842,0.0,0.20403413498836306,0.6152055857253685,723,1379
2020-04-08,2210,1452,2232,733,299,0.0,305,0.0,249,848.0,0.6570135746606335,0.32840501792114696,0.2100550964187328,0.0,0.2059228650137741,0.5840220385674931,758,1499
2020-04-09,2012,1321,2811,633,276,0.0,260,0.0,217,785.0,0.6565606361829026,0.22518676627534684,0.1968205904617714,0.0,0.20893262679788038,0.5942467827403483,691,2178
2020-04-10,2012,1308,2811,619,281,0.0,257,0.0,215,770.0,0.6500994035785288,0.22020633226609748,0.19648318042813456,0.0,0.21483180428134557,0.5886850152905199,704,2192
2020-04-11,2012,1294,2811,575,270,0.0,261,0.0,196,763.0,0.643141153081511,0.20455353966559944,0.2017001545595054,0.0,0.20865533230293662,0.589644513137558,718,2236
